query_index,query_track_id,query_caption,rank,retrieved_track_id,retrieved_caption_reference,similarity,is_exact_pair
0,-5xOcMJpTUk.wav,"A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds, clearly demonstrating the technique. The audio quality is mediocre.",1,4ls_8xIjBzM.wav,"This music is instrumental. The tempo is medium with an electric guitar riff and the voice of a man giving instructions on electric guitar techniques. The music is loud, clear, amplified, vivid, emphatic and powerful. This is a tutorial/ lesson on electric guitar techniques.",0.6203197836875916,False
0,-5xOcMJpTUk.wav,"A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds, clearly demonstrating the technique. The audio quality is mediocre.",2,NzvkMWY4EjA.wav,Solo performance of an electric guitar player strumming chords. The tone is overdriven and warm. The genre is rock.,0.595128059387207,False
0,-5xOcMJpTUk.wav,"A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds, clearly demonstrating the technique. The audio quality is mediocre.",3,H6Y_7Ax34-g.wav,This is a gear review jam. There is an electric guitar playing simple tunes. An amp plug is connected to the electric guitar. The atmosphere is easygoing. Sounds from this recording can be sampled to be used in advertisement jingles.,0.5915720462799072,False
1,-6QGvxvaTkI.wav,"The low quality recording features a live performance of a traditional song and it consists of an echoing male vocal singing over acoustic strings melody, plucked strings melody and wooden percussion. There is a crowd chattering noise in the background. The recording is a bit noisy and it sounds passionate.",1,X96v9LlsjJM.wav,"The low quality recording features a wide crowd sound effects that include loud clapping, whistling and cheering, while the orchestra is playing in the background. It sounds reverberant and like it was recorded with a better quality phone.",0.6332414746284485,False
1,-6QGvxvaTkI.wav,"The low quality recording features a live performance of a traditional song and it consists of an echoing male vocal singing over acoustic strings melody, plucked strings melody and wooden percussion. There is a crowd chattering noise in the background. The recording is a bit noisy and it sounds passionate.",2,He63KV_9Pwg.wav,"The low quality recording features harmonizing vocals singing over punchy kick and snare hits, shimmering hi hats, synth pads, simple bass and mellow piano chords. There are crowd cheering noises in the background as this is a live performance. It sounds passionate, emotional, exciting and the recording is noisy, in mono and slightly distorted.",0.6274099946022034,False
1,-6QGvxvaTkI.wav,"The low quality recording features a live performance of a traditional song and it consists of an echoing male vocal singing over acoustic strings melody, plucked strings melody and wooden percussion. There is a crowd chattering noise in the background. The recording is a bit noisy and it sounds passionate.",3,72_Hk1cdoxk.wav,This low quality audio features a salsa song. A male voice sings the main melody. The audio starts off with a solo being played on a trumpet. This is accompanied by percussion playing a salsa beat. A keyboard plays chords in salsa style. Other instruments are not heard clearly due to the low quality of the audio.,0.6021279692649841,False
2,-IZbvEO9wzU.wav,This is a heavily edited version of a birthday song. The track has been transposed to make the original vocal sound like a little girl which resulted in a chipmunk vocal effect. The piano playing the melody and the electronic drum beat is at an irritatingly higher pitch than normal. This creates a bizarre atmosphere. It could be used in nightmare sequences in video games or TV shows.,1,vNZ3JS1LjDc.wav,"The low quality recording features a flat male lead vocal, alongside harmonizing background vocals, singing over, staccato background vocals, groovy bass, wooden percussion, shimmering shakers and ""4 on the floor"" kick pattern. At the very end of the loop, there is a dark arpeggiated bell melody. Overall, it sounds happy and fun.",0.6114702224731445,False
2,-IZbvEO9wzU.wav,This is a heavily edited version of a birthday song. The track has been transposed to make the original vocal sound like a little girl which resulted in a chipmunk vocal effect. The piano playing the melody and the electronic drum beat is at an irritatingly higher pitch than normal. This creates a bizarre atmosphere. It could be used in nightmare sequences in video games or TV shows.,2,nbYdiazwUQo.wav,"A tropical feeling electronic pop track with heavily processed autotuned vocals hard panned left right and center. The cumbia beat, lots of percussion, synthesizer melody and a syncopated bass give the music a light, friendly, and youthful vibe;",0.5965906381607056,False
2,-IZbvEO9wzU.wav,This is a heavily edited version of a birthday song. The track has been transposed to make the original vocal sound like a little girl which resulted in a chipmunk vocal effect. The piano playing the melody and the electronic drum beat is at an irritatingly higher pitch than normal. This creates a bizarre atmosphere. It could be used in nightmare sequences in video games or TV shows.,3,r5xTmK2Fq1w.wav,"The low quality recording features a reggae song that consists of flat male vocals, alongside filtered, echoing male vocal and doubling background vocals, singing over punchy kick and snare hits, energetic crash cymbals, tinny wooden percussions, groovy bass and synth keys chords. It sounds energetic, as it is upbeat and addictive, thanks to the cadence.",0.569761335849762,False
3,-OAyRsvFGgc.wav,"The low quality recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instrumental features a punchy kick and snare hits, soft cymbals and smooth bass. It sounds passionate, even though the recording is muffled and noisy, as it was probably recorded with a phone.",1,VzFpg271sm8.wav,"This composition is full of atmospheric sounds, machine beeping; bell/mallet sounds playing a melody with a lot of reverb. Pad/drone sounds playing a constant sound in the background. This composition may be playing in an obscure movie scene.",0.5965964794158936,False
